,as_of,ticker
19376,2011-02-25,SBAC
19442,2011-07-19,URI
19443,2011-10-18,URI
19486,2010-02-05,SLB
19605,2010-02-25,SPG
19606,2011-05-09,VLO
19607,2011-11-09,VLO
19729,2020-11-10,VTRS
19745,2018-05-04,VST
19912,2011-08-09,VLO
19913,2012-08-08,VLO
19914,2012-11-06,VLO
19917,2016-02-25,VLO
19918,2015-05-07,VLO
19919,2016-08-04,VLO
19920,2016-11-08,VLO
19990,2012-11-09,TER
20185,2017-11-13,VICI
20194,2010-08-06,VLO
20197,2013-11-05,VLO
20201,2017-02-23,VLO
20785,2015-11-03,TRGP
20830,2024-02-27,TKO
20908,2009-07-29,TXN
20912,2016-05-10,TRGP
20913,2016-08-03,TRGP
20914,2016-11-04,TRGP
21017,2009-10-30,TXN
21198,2010-02-10,UNH
21229,2010-02-19,VTR
21324,2010-02-26,WAT
21346,2022-02-24,WAT
21372,2024-02-27,WAT
21375,2010-02-22,WBD
21572,2009-07-31,XEL
21708,2010-03-30,WMT
22105,2009-08-05,XOM
22107,2010-02-26,XOM
22108,2010-08-04,XOM
22109,2009-11-05,XOM
