,as_of,ticker
2240,2015-09-10,LULU
2244,2012-03-13,AXON
2245,2011-08-08,AXON
2246,2017-08-31,LULU
2247,2011-11-09,AXON
2248,2013-03-08,AXON
2249,2019-03-27,LULU
2250,2018-08-30,LULU
2251,2012-05-10,AXON
2252,2012-08-09,AXON
2253,2012-11-09,AXON
2258,2013-11-05,AXON
2259,2014-03-10,AXON
2260,2013-05-07,AXON
2261,2013-08-07,AXON
2263,2014-11-05,AXON
2264,2014-08-05,AXON
2265,2015-05-08,AXON
2268,2015-08-06,AXON
2275,2010-12-17,COO
2291,2018-11-07,AXON
2292,2019-02-27,AXON
2293,2018-05-10,AXON
2294,2018-08-09,AXON
2304,2019-05-10,AXON
2308,2019-08-09,AXON
2309,2019-11-08,AXON
2310,2020-02-28,AXON
2314,2020-05-08,AXON
2315,2020-08-07,AXON
2316,2020-11-06,AXON
2317,2021-02-26,AXON
2319,2021-05-07,AXON
2320,2021-08-06,AXON
2321,2021-11-15,AXON
2325,2022-05-10,AXON
2326,2022-08-09,AXON
2327,2022-11-09,AXON
2329,2024-05-07,AXON
2330,2024-08-07,AXON
2331,2024-11-08,AXON
2346,2009-09-02,AXP
2434,2011-08-05,KKR
2443,2009-12-17,AZO
2452,2012-02-29,EXR
2453,2011-05-06,EXR
2481,2011-02-24,CPT
2490,2026-05-01,EXR
2510,2016-07-28,F
2511,2016-10-27,F
2514,2012-08-01,MA
2520,2013-02-14,MA
2524,2014-07-31,MA
2525,2014-10-30,MA
2550,2025-05-06,F
2554,2010-02-08,BA
2555,2011-02-09,BA
2572,2025-07-31,F
2583,2025-10-24,F
2595,2013-03-01,FANG
2636,2011-07-28,CSGP
2652,2009-10-09,MAR
2676,2011-02-25,BAC
2677,2009-08-07,BAC
2680,2009-11-06,BAC
2692,2011-10-26,FAST
2698,2015-02-05,FAST
2747,2010-02-25,CTSH
2769,2010-08-04,BALL
2770,2010-11-04,BALL
2871,2010-02-23,BAX
2872,2009-07-28,BAX
2876,2009-10-29,BAX
2904,2009-08-10,MCHP
2909,2010-11-08,MCHP
2914,2011-02-08,MCHP
2915,2011-05-31,MCHP
2919,2011-11-07,MCHP
2920,2012-02-06,MCHP
2921,2012-05-30,MCHP
2922,2011-08-09,MCHP
2929,2010-05-10,GS
2930,2012-11-09,MCHP
2931,2013-08-09,MCHP
2932,2013-11-08,MCHP
2933,2014-02-07,MCHP
2976,2009-10-23,HAL
2997,2013-07-10,FDS
2998,2013-10-30,FDS
3000,2014-01-09,FDS
3001,2014-04-09,FDS
3007,2009-12-17,DE
3029,2014-01-30,V
3033,2014-08-11,EG
3068,2022-08-04,DECK
3074,2009-11-05,MCO
3123,2009-08-07,DUK
3124,2009-11-06,DUK
3148,2010-07-27,LII
3158,2009-12-18,FDX
3164,2010-03-19,FDX
3194,2009-07-23,DHR
3234,2009-08-07,BEN
3250,2009-08-04,MET
3251,2009-11-04,MET
3344,2015-07-31,META
3345,2015-11-05,META
3346,2016-01-28,META
3347,2017-05-04,META
3348,2017-07-27,META
3349,2017-11-02,META
3354,2020-04-30,META
3355,2020-07-31,META
3356,2020-10-30,META
3359,2021-10-26,META
3409,2011-05-05,DPZ
3414,2010-08-09,IT
3449,2014-10-31,HLT
3469,2011-08-03,DXCM
3490,2009-10-21,BIIB
3497,2010-02-09,BIIB
3498,2011-04-21,BIIB
3501,2011-02-04,BIIB
3520,2011-07-11,FDS
3568,2011-05-10,MNST
3569,2011-08-09,MNST
3570,2011-11-09,MNST
3571,2012-02-29,MNST
3575,2012-05-10,MNST
3576,2012-08-09,MNST
3577,2012-11-09,MNST
3580,2013-03-01,MNST
3581,2013-05-10,MNST
3582,2013-08-09,MNST
3583,2013-11-12,MNST
3584,2014-03-03,MNST
3585,2016-02-29,MNST
3590,2015-08-10,MNST
3591,2015-11-06,MNST
3592,2016-05-02,MNST
3593,2017-11-09,MNST
3595,2010-08-06,FFIV
3596,2011-11-22,FFIV
3597,2019-11-08,MNST
3598,2020-02-28,MNST
3601,2011-02-07,FFIV
3602,2020-05-11,MNST
3603,2020-08-06,MNST
3605,2011-08-05,FFIV
3606,2012-11-21,FFIV
3607,2012-02-03,FFIV
3608,2020-11-06,MNST
3609,2012-05-07,FFIV
3610,2012-08-07,FFIV
3611,2021-03-01,MNST
3612,2021-05-07,MNST
3613,2021-08-09,MNST
3614,2021-11-05,MNST
3615,2022-02-28,MNST
3616,2022-05-06,MNST
3617,2010-08-04,BKNG
3618,2010-11-09,BKNG
3619,2011-05-06,BKNG
3623,2012-05-09,BKNG
3624,2012-08-07,BKNG
3625,2012-11-01,BKNG
3626,2013-02-07,FFIV
3630,2012-02-27,BKNG
3631,2013-05-09,BKNG
3632,2013-08-08,BKNG
3643,2014-08-07,FFIV
3654,2014-11-26,FFIV
3674,2015-02-05,FFIV
3675,2015-05-07,FFIV
3676,2015-07-29,FFIV
3695,2017-11-03,FFIV
3713,2018-02-23,BKR
3714,2019-05-03,FFIV
3720,2019-08-02,FFIV
3721,2019-11-15,FFIV
3722,2020-02-05,FFIV
3787,2011-07-29,BLDR
3816,2017-11-09,BLDR
3817,2018-08-08,BLDR
3818,2018-11-02,BLDR
3819,2025-08-06,FFIV
3823,2025-11-25,FFIV
3824,2026-02-05,FFIV
3832,2026-05-05,FFIV
3838,2010-11-23,FICO
3839,2010-08-06,FICO
3876,2024-11-06,BLK
3890,2009-07-23,BMY
3891,2009-10-22,BMY
3893,2009-07-29,ELV
3908,2009-07-24,MRK
3953,2019-03-13,MRNA
3954,2019-08-08,MRNA
3955,2019-11-06,MRNA
3958,2011-02-24,HST
3959,2010-05-03,HST
3960,2019-05-09,MRNA
3961,2021-05-06,MRNA
3965,2021-08-05,MRNA
3966,2021-11-04,MRNA
